0.1	0.86603	
0.15	0.86603	
0.2	0.86603	
0.25	0.86603	
0.3	0.86603	
0.35	0.86603	
0.4	0.86603	
0.45	0.86603	
0.5	0.86603	
0.55	0.86603	
0.6	0.86603	
0.65	0.86603	
-0.825	0.82272	
-0.775	0.82272	
-0.725	0.82272	
-0.675	0.82272	
-0.625	0.82272	
-0.575	0.82272	
-0.525	0.82272	
-0.475	0.82272	
-0.425	0.82272	
-0.375	0.82272	
-0.325	0.82272	
-0.275	0.82272	
-0.225	0.82272	
-0.175	0.82272	
-0.125	0.82272	
-0.075	0.82272	
-0.025	0.82272	
0.025	0.82272	
0.075	0.82272	
0.125	0.82272	
0.175	0.82272	
0.225	0.82272	
0.275	0.82272	
0.325	0.82272	
0.375	0.82272	
0.425	0.82272	
0.475	0.82272	
0.525	0.82272	
0.575	0.82272	
0.625	0.82272	
0.675	0.82272	
-0.8	0.77942	
-0.75	0.77942	
-0.7	0.77942	
-0.65	0.77942	
-0.6	0.77942	
-0.55	0.77942	
-0.5	0.77942	
-0.45	0.77942	
-0.4	0.77942	
-0.35	0.77942	
-0.3	0.77942	
-0.25	0.77942	
-0.2	0.77942	
-0.15	0.77942	
-0.1	0.77942	
-0.05	0.77942	
0	0.77942	
0.05	0.77942	
0.1	0.77942	
0.15	0.77942	
0.2	0.77942	
0.25	0.77942	
0.3	0.77942	
0.35	0.77942	
0.4	0.77942	
0.45	0.77942	
0.5	0.77942	
0.55	0.77942	
0.6	0.77942	
0.65	0.77942	
0.7	0.77942	
0.75	0.77942	
-0.825	0.73612	
-0.775	0.73612	
-0.725	0.73612	
-0.675	0.73612	
-0.625	0.73612	
-0.575	0.73612	
-0.525	0.73612	
-0.475	0.73612	
-0.425	0.73612	
-0.375	0.73612	
-0.325	0.73612	
-0.275	0.73612	
-0.225	0.73612	
-0.175	0.73612	
-0.125	0.73612	
-0.075	0.73612	
-0.025	0.73612	
0.025	0.73612	
0.075	0.73612	
0.125	0.73612	
0.175	0.73612	
0.225	0.73612	
0.275	0.73612	
0.325	0.73612	
0.375	0.73612	
0.425	0.73612	
0.475	0.73612	
0.525	0.73612	
0.575	0.73612	
0.625	0.73612	
0.675	0.73612	
0.725	0.73612	
0.775	0.73612	
-0.95	0.69282	
-0.9	0.69282	
-0.85	0.69282	
-0.8	0.69282	
-0.75	0.69282	
-0.7	0.69282	
-0.65	0.69282	
-0.6	0.69282	
-0.55	0.69282	
-0.5	0.69282	
-0.45	0.69282	
-0.4	0.69282	
-0.35	0.69282	
-0.3	0.69282	
-0.25	0.69282	
-0.2	0.69282	
-0.15	0.69282	
-0.1	0.69282	
-0.05	0.69282	
0	0.69282	
0.05	0.69282	
0.1	0.69282	
0.15	0.69282	
0.2	0.69282	
0.25	0.69282	
0.3	0.69282	
0.35	0.69282	
0.4	0.69282	
0.45	0.69282	
0.5	0.69282	
0.55	0.69282	
0.6	0.69282	
0.65	0.69282	
0.7	0.69282	
0.75	0.69282	
0.8	0.69282	
0.85	0.69282	
-0.975	0.64952	
-0.925	0.64952	
-0.875	0.64952	
-0.825	0.64952	
-0.775	0.64952	
-0.725	0.64952	
-0.675	0.64952	
-0.625	0.64952	
-0.575	0.64952	
-0.525	0.64952	
-0.475	0.64952	
-0.425	0.64952	
-0.375	0.64952	
-0.325	0.64952	
-0.275	0.64952	
-0.225	0.64952	
-0.175	0.64952	
-0.125	0.64952	
-0.075	0.64952	
-0.025	0.64952	
0.025	0.64952	
0.075	0.64952	
0.125	0.64952	
0.175	0.64952	
0.225	0.64952	
0.275	0.64952	
0.325	0.64952	
0.375	0.64952	
0.425	0.64952	
0.475	0.64952	
0.525	0.64952	
0.575	0.64952	
0.625	0.64952	
0.675	0.64952	
0.725	0.64952	
0.775	0.64952	
0.825	0.64952	
0.875	0.64952	
-0.95	0.60622	
-0.9	0.60622	
-0.85	0.60622	
-0.8	0.60622	
-0.75	0.60622	
-0.7	0.60622	
-0.65	0.60622	
-0.6	0.60622	
-0.55	0.60622	
-0.5	0.60622	
-0.45	0.60622	
-0.4	0.60622	
-0.35	0.60622	
-0.3	0.60622	
-0.25	0.60622	
-0.2	0.60622	
-0.15	0.60622	
-0.1	0.60622	
-0.05	0.60622	
0	0.60622	
0.05	0.60622	
0.1	0.60622	
0.15	0.60622	
0.2	0.60622	
0.25	0.60622	
0.3	0.60622	
0.35	0.60622	
0.4	0.60622	
0.45	0.60622	
0.5	0.60622	
0.55	0.60622	
0.6	0.60622	
0.65	0.60622	
0.7	0.60622	
0.75	0.60622	
0.8	0.60622	
0.85	0.60622	
0.9	0.60622	
0.95	0.60622	
-0.975	0.56292	
-0.925	0.56292	
-0.875	0.56292	
-0.825	0.56292	
-0.775	0.56292	
-0.725	0.56292	
-0.675	0.56292	
-0.625	0.56292	
-0.575	0.56292	
-0.525	0.56292	
-0.475	0.56292	
-0.425	0.56292	
-0.375	0.56292	
-0.325	0.56292	
-0.275	0.56292	
-0.225	0.56292	
-0.175	0.56292	
-0.125	0.56292	
-0.075	0.56292	
-0.025	0.56292	
0.025	0.56292	
0.075	0.56292	
0.125	0.56292	
0.175	0.56292	
0.225	0.56292	
0.275	0.56292	
0.325	0.56292	
0.375	0.56292	
0.425	0.56292	
0.475	0.56292	
0.525	0.56292	
0.575	0.56292	
0.625	0.56292	
0.675	0.56292	
0.725	0.56292	
0.775	0.56292	
0.825	0.56292	
0.875	0.56292	
0.925	0.56292	
0.975	0.56292	
-1	0.51962	
-0.95	0.51962	
-0.9	0.51962	
-0.85	0.51962	
-0.8	0.51962	
-0.75	0.51962	
-0.7	0.51962	
-0.65	0.51962	
-0.6	0.51962	
-0.55	0.51962	
-0.5	0.51962	
-0.45	0.51962	
-0.4	0.51962	
-0.35	0.51962	
-0.3	0.51962	
-0.25	0.51962	
-0.2	0.51962	
-0.15	0.51962	
-0.1	0.51962	
-0.05	0.51962	
0	0.51962	
0.05	0.51962	
0.1	0.51962	
0.15	0.51962	
0.2	0.51962	
0.25	0.51962	
0.3	0.51962	
0.35	0.51962	
0.4	0.51962	
0.45	0.51962	
0.5	0.51962	
0.55	0.51962	
0.6	0.51962	
0.65	0.51962	
0.7	0.51962	
0.75	0.51962	
0.8	0.51962	
0.85	0.51962	
0.9	0.51962	
0.95	0.51962	
1	0.51962	
1.05	0.51962	
-0.975	0.47631	
-0.925	0.47631	
-0.875	0.47631	
-0.825	0.47631	
-0.775	0.47631	
-0.725	0.47631	
-0.675	0.47631	
-0.625	0.47631	
-0.575	0.47631	
-0.525	0.47631	
-0.475	0.47631	
-0.425	0.47631	
-0.375	0.47631	
-0.325	0.47631	
-0.275	0.47631	
-0.225	0.47631	
-0.175	0.47631	
-0.125	0.47631	
-0.075	0.47631	
-0.025	0.47631	
0.025	0.47631	
0.075	0.47631	
0.125	0.47631	
0.175	0.47631	
0.225	0.47631	
0.275	0.47631	
0.325	0.47631	
0.375	0.47631	
0.425	0.47631	
0.475	0.47631	
0.525	0.47631	
0.575	0.47631	
0.625	0.47631	
0.675	0.47631	
0.725	0.47631	
0.775	0.47631	
0.825	0.47631	
0.875	0.47631	
0.925	0.47631	
0.975	0.47631	
1.025	0.47631	
1.075	0.47631	
-1	0.43301	
-0.95	0.43301	
-0.9	0.43301	
-0.85	0.43301	
-0.8	0.43301	
-0.75	0.43301	
-0.7	0.43301	
-0.65	0.43301	
-0.6	0.43301	
-0.55	0.43301	
-0.5	0.43301	
-0.45	0.43301	
-0.4	0.43301	
-0.35	0.43301	
-0.3	0.43301	
-0.25	0.43301	
-0.2	0.43301	
-0.15	0.43301	
-0.1	0.43301	
-0.05	0.43301	
0	0.43301	
0.05	0.43301	
0.1	0.43301	
0.15	0.43301	
0.2	0.43301	
0.25	0.43301	
0.3	0.43301	
0.35	0.43301	
0.4	0.43301	
0.45	0.43301	
0.5	0.43301	
0.55	0.43301	
0.6	0.43301	
0.65	0.43301	
0.7	0.43301	
0.75	0.43301	
0.8	0.43301	
0.85	0.43301	
0.9	0.43301	
0.95	0.43301	
1	0.43301	
1.05	0.43301	
-1.025	0.38971	
-0.975	0.38971	
-0.925	0.38971	
-0.875	0.38971	
-0.825	0.38971	
-0.775	0.38971	
-0.725	0.38971	
-0.675	0.38971	
-0.625	0.38971	
-0.575	0.38971	
-0.525	0.38971	
-0.475	0.38971	
-0.425	0.38971	
-0.375	0.38971	
-0.325	0.38971	
-0.275	0.38971	
-0.225	0.38971	
-0.175	0.38971	
-0.125	0.38971	
-0.075	0.38971	
-0.025	0.38971	
0.025	0.38971	
0.075	0.38971	
0.125	0.38971	
0.175	0.38971	
0.225	0.38971	
0.275	0.38971	
0.325	0.38971	
0.375	0.38971	
0.425	0.38971	
0.475	0.38971	
0.525	0.38971	
0.575	0.38971	
0.625	0.38971	
0.675	0.38971	
0.725	0.38971	
0.775	0.38971	
0.825	0.38971	
0.875	0.38971	
0.925	0.38971	
0.975	0.38971	
1.025	0.38971	
-1	0.34641	
-0.95	0.34641	
-0.9	0.34641	
-0.85	0.34641	
-0.8	0.34641	
-0.75	0.34641	
-0.7	0.34641	
-0.65	0.34641	
-0.6	0.34641	
-0.55	0.34641	
-0.5	0.34641	
-0.45	0.34641	
-0.4	0.34641	
-0.35	0.34641	
-0.3	0.34641	
-0.25	0.34641	
-0.2	0.34641	
-0.15	0.34641	
-0.1	0.34641	
-0.05	0.34641	
0	0.34641	
0.05	0.34641	
0.1	0.34641	
0.15	0.34641	
0.2	0.34641	
0.25	0.34641	
0.3	0.34641	
0.35	0.34641	
0.4	0.34641	
0.45	0.34641	
0.5	0.34641	
0.55	0.34641	
0.6	0.34641	
0.65	0.34641	
0.7	0.34641	
0.75	0.34641	
0.8	0.34641	
0.85	0.34641	
0.9	0.34641	
0.95	0.34641	
1	0.34641	
1.05	0.34641	
-1.025	0.30311	
-0.975	0.30311	
-0.925	0.30311	
-0.875	0.30311	
-0.825	0.30311	
-0.775	0.30311	
-0.725	0.30311	
-0.675	0.30311	
-0.625	0.30311	
-0.575	0.30311	
-0.525	0.30311	
-0.475	0.30311	
-0.425	0.30311	
-0.375	0.30311	
-0.325	0.30311	
-0.275	0.30311	
-0.225	0.30311	
-0.175	0.30311	
-0.125	0.30311	
-0.075	0.30311	
-0.025	0.30311	
0.025	0.30311	
0.075	0.30311	
0.125	0.30311	
0.175	0.30311	
0.225	0.30311	
0.275	0.30311	
0.325	0.30311	
0.375	0.30311	
0.425	0.30311	
0.475	0.30311	
0.525	0.30311	
0.575	0.30311	
0.625	0.30311	
0.675	0.30311	
0.725	0.30311	
0.775	0.30311	
0.825	0.30311	
0.875	0.30311	
0.925	0.30311	
0.975	0.30311	
1.025	0.30311	
1.075	0.30311	
1.125	0.30311	
-1.05	0.25981	
-1	0.25981	
-0.95	0.25981	
-0.9	0.25981	
-0.85	0.25981	
-0.8	0.25981	
-0.75	0.25981	
-0.7	0.25981	
-0.65	0.25981	
-0.6	0.25981	
-0.55	0.25981	
-0.5	0.25981	
-0.45	0.25981	
-0.4	0.25981	
-0.35	0.25981	
-0.3	0.25981	
-0.25	0.25981	
-0.2	0.25981	
-0.15	0.25981	
-0.1	0.25981	
-0.05	0.25981	
0	0.25981	
0.05	0.25981	
0.1	0.25981	
0.15	0.25981	
0.2	0.25981	
0.25	0.25981	
0.3	0.25981	
0.35	0.25981	
0.4	0.25981	
0.45	0.25981	
0.5	0.25981	
0.55	0.25981	
0.6	0.25981	
0.65	0.25981	
0.7	0.25981	
0.75	0.25981	
0.8	0.25981	
0.85	0.25981	
0.9	0.25981	
0.95	0.25981	
1	0.25981	
1.05	0.25981	
1.1	0.25981	
1.15	0.25981	
-1.025	0.21651	
-0.975	0.21651	
-0.925	0.21651	
-0.875	0.21651	
-0.825	0.21651	
-0.775	0.21651	
-0.725	0.21651	
-0.675	0.21651	
-0.625	0.21651	
-0.575	0.21651	
-0.525	0.21651	
-0.475	0.21651	
-0.425	0.21651	
-0.375	0.21651	
-0.325	0.21651	
-0.275	0.21651	
-0.225	0.21651	
-0.175	0.21651	
-0.125	0.21651	
-0.075	0.21651	
-0.025	0.21651	
0.025	0.21651	
0.075	0.21651	
0.125	0.21651	
0.175	0.21651	
0.225	0.21651	
0.275	0.21651	
0.325	0.21651	
0.375	0.21651	
0.425	0.21651	
0.475	0.21651	
0.525	0.21651	
0.575	0.21651	
0.625	0.21651	
0.675	0.21651	
0.725	0.21651	
0.775	0.21651	
0.825	0.21651	
0.875	0.21651	
0.925	0.21651	
0.975	0.21651	
1.025	0.21651	
1.075	0.21651	
1.125	0.21651	
-1.05	0.17321	
-1	0.17321	
-0.95	0.17321	
-0.9	0.17321	
-0.85	0.17321	
-0.8	0.17321	
-0.75	0.17321	
-0.7	0.17321	
-0.65	0.17321	
-0.6	0.17321	
-0.55	0.17321	
-0.5	0.17321	
-0.45	0.17321	
-0.4	0.17321	
-0.35	0.17321	
-0.3	0.17321	
-0.25	0.17321	
-0.2	0.17321	
-0.15	0.17321	
-0.1	0.17321	
-0.05	0.17321	
0	0.17321	
0.05	0.17321	
0.1	0.17321	
0.15	0.17321	
0.2	0.17321	
0.25	0.17321	
0.3	0.17321	
0.35	0.17321	
0.4	0.17321	
0.45	0.17321	
0.5	0.17321	
0.55	0.17321	
0.6	0.17321	
0.65	0.17321	
0.7	0.17321	
0.75	0.17321	
0.8	0.17321	
0.85	0.17321	
0.9	0.17321	
0.95	0.17321	
1	0.17321	
1.05	0.17321	
1.1	0.17321	
-1.075	0.1299	
-1.025	0.1299	
-0.975	0.1299	
-0.925	0.1299	
-0.875	0.1299	
-0.825	0.1299	
-0.775	0.1299	
-0.725	0.1299	
-0.675	0.1299	
-0.625	0.1299	
-0.575	0.1299	
-0.525	0.1299	
-0.475	0.1299	
-0.425	0.1299	
-0.375	0.1299	
-0.325	0.1299	
-0.275	0.1299	
-0.225	0.1299	
-0.175	0.1299	
-0.125	0.1299	
-0.075	0.1299	
-0.025	0.1299	
0.025	0.1299	
0.075	0.1299	
0.125	0.1299	
0.175	0.1299	
0.225	0.1299	
0.275	0.1299	
0.325	0.1299	
0.375	0.1299	
0.425	0.1299	
0.475	0.1299	
0.525	0.1299	
0.575	0.1299	
0.625	0.1299	
0.675	0.1299	
0.725	0.1299	
0.775	0.1299	
0.825	0.1299	
0.875	0.1299	
0.925	0.1299	
0.975	0.1299	
1.025	0.1299	
1.075	0.1299	
1.125	0.1299	
-1.05	0.0866	
-1	0.0866	
-0.95	0.0866	
-0.9	0.0866	
-0.85	0.0866	
-0.8	0.0866	
-0.75	0.0866	
-0.7	0.0866	
-0.65	0.0866	
-0.6	0.0866	
-0.55	0.0866	
-0.5	0.0866	
-0.45	0.0866	
-0.4	0.0866	
-0.35	0.0866	
-0.3	0.0866	
-0.25	0.0866	
-0.2	0.0866	
-0.15	0.0866	
-0.1	0.0866	
-0.05	0.0866	
0	0.0866	
0.05	0.0866	
0.1	0.0866	
0.15	0.0866	
0.2	0.0866	
0.25	0.0866	
0.3	0.0866	
0.35	0.0866	
0.4	0.0866	
0.45	0.0866	
0.5	0.0866	
0.55	0.0866	
0.6	0.0866	
0.65	0.0866	
0.7	0.0866	
0.75	0.0866	
0.8	0.0866	
0.85	0.0866	
0.9	0.0866	
0.95	0.0866	
1	0.0866	
1.05	0.0866	
1.1	0.0866	
-1.075	0.0433	
-1.025	0.0433	
-0.975	0.0433	
-0.925	0.0433	
-0.875	0.0433	
-0.825	0.0433	
-0.775	0.0433	
-0.725	0.0433	
-0.675	0.0433	
-0.625	0.0433	
-0.575	0.0433	
-0.525	0.0433	
-0.475	0.0433	
-0.425	0.0433	
-0.375	0.0433	
-0.325	0.0433	
-0.275	0.0433	
-0.225	0.0433	
-0.175	0.0433	
-0.125	0.0433	
-0.075	0.0433	
-0.025	0.0433	
0.025	0.0433	
0.075	0.0433	
0.125	0.0433	
0.175	0.0433	
0.225	0.0433	
0.275	0.0433	
0.325	0.0433	
0.375	0.0433	
0.425	0.0433	
0.475	0.0433	
0.525	0.0433	
0.575	0.0433	
0.625	0.0433	
0.675	0.0433	
0.725	0.0433	
0.775	0.0433	
0.825	0.0433	
0.875	0.0433	
0.925	0.0433	
0.975	0.0433	
1.025	0.0433	
1.075	0.0433	
-1.1	0	
-1.05	0	
-1	0	
-0.95	0	
-0.9	0	
-0.85	0	
-0.8	0	
-0.75	0	
-0.7	0	
-0.65	0	
-0.6	0	
-0.55	0	
-0.5	0	
-0.45	0	
-0.4	0	
-0.35	0	
-0.3	0	
-0.25	0	
-0.2	0	
-0.15	0	
-0.1	0	
-0.05	0	
0	0	
0.05	0	
0.1	0	
0.15	0	
0.2	-0	
0.25	-0	
0.3	-0	
0.35	-0	
0.4	-0	
0.45	-0	
0.5	-0	
0.55	-0	
0.6	-0	
0.65	-0	
0.7	-0	
0.75	-0	
0.8	-0	
0.85	-0	
0.9	-0	
0.95	-0	
1	0	
1.05	0	
1.1	0	
-1.075	-0.0433	
-1.025	-0.0433	
-0.975	-0.0433	
-0.925	-0.0433	
-0.875	-0.0433	
-0.825	-0.0433	
-0.775	-0.0433	
-0.725	-0.0433	
-0.675	-0.0433	
-0.625	-0.0433	
-0.575	-0.0433	
-0.525	-0.0433	
-0.475	-0.0433	
-0.425	-0.0433	
-0.375	-0.0433	
-0.325	-0.0433	
-0.275	-0.0433	
-0.225	-0.0433	
-0.175	-0.0433	
-0.125	-0.0433	
-0.075	-0.0433	
-0.025	-0.0433	
0.025	-0.0433	
0.075	-0.0433	
0.125	-0.0433	
0.175	-0.0433	
0.225	-0.0433	
0.275	-0.0433	
0.325	-0.0433	
0.375	-0.0433	
0.425	-0.0433	
0.475	-0.0433	
0.525	-0.0433	
0.575	-0.0433	
0.625	-0.0433	
0.675	-0.0433	
0.725	-0.0433	
0.775	-0.0433	
0.825	-0.0433	
0.875	-0.0433	
0.925	-0.0433	
0.975	-0.0433	
1.025	-0.0433	
1.075	-0.0433	
-1.1	-0.0866	
-1.05	-0.0866	
-1	-0.0866	
-0.95	-0.0866	
-0.9	-0.0866	
-0.85	-0.0866	
-0.8	-0.0866	
-0.75	-0.0866	
-0.7	-0.0866	
-0.65	-0.0866	
-0.6	-0.0866	
-0.55	-0.0866	
-0.5	-0.0866	
-0.45	-0.0866	
-0.4	-0.0866	
-0.35	-0.0866	
-0.3	-0.0866	
-0.25	-0.0866	
-0.2	-0.0866	
-0.15	-0.0866	
-0.1	-0.0866	
-0.05	-0.0866	
0	-0.0866	
0.05	-0.0866	
0.1	-0.0866	
0.15	-0.0866	
0.2	-0.0866	
0.25	-0.0866	
0.3	-0.0866	
0.35	-0.0866	
0.4	-0.0866	
0.45	-0.0866	
0.5	-0.0866	
0.55	-0.0866	
0.6	-0.0866	
0.65	-0.0866	
0.7	-0.0866	
0.75	-0.0866	
0.8	-0.0866	
0.85	-0.0866	
0.9	-0.0866	
0.95	-0.0866	
1	-0.0866	
1.05	-0.0866	
-1.125	-0.1299	
-1.075	-0.1299	
-1.025	-0.1299	
-0.975	-0.1299	
-0.925	-0.1299	
-0.875	-0.1299	
-0.825	-0.1299	
-0.775	-0.1299	
-0.725	-0.1299	
-0.675	-0.1299	
-0.625	-0.1299	
-0.575	-0.1299	
-0.525	-0.1299	
-0.475	-0.1299	
-0.425	-0.1299	
-0.375	-0.1299	
-0.325	-0.1299	
-0.275	-0.1299	
-0.225	-0.1299	
-0.175	-0.1299	
-0.125	-0.1299	
-0.075	-0.1299	
-0.025	-0.1299	
0.025	-0.1299	
0.075	-0.1299	
0.125	-0.1299	
0.175	-0.1299	
0.225	-0.1299	
0.275	-0.1299	
0.325	-0.1299	
0.375	-0.1299	
0.425	-0.1299	
0.475	-0.1299	
0.525	-0.1299	
0.575	-0.1299	
0.625	-0.1299	
0.675	-0.1299	
0.725	-0.1299	
0.775	-0.1299	
0.825	-0.1299	
0.875	-0.1299	
0.925	-0.1299	
0.975	-0.1299	
1.025	-0.1299	
1.075	-0.1299	
-1.1	-0.17321	
-1.05	-0.17321	
-1	-0.17321	
-0.95	-0.17321	
-0.9	-0.17321	
-0.85	-0.17321	
-0.8	-0.17321	
-0.75	-0.17321	
-0.7	-0.17321	
-0.65	-0.17321	
-0.6	-0.17321	
-0.55	-0.17321	
-0.5	-0.17321	
-0.45	-0.17321	
-0.4	-0.17321	
-0.35	-0.17321	
-0.3	-0.17321	
-0.25	-0.17321	
-0.2	-0.17321	
-0.15	-0.17321	
-0.1	-0.17321	
-0.05	-0.17321	
0	-0.17321	
0.05	-0.17321	
0.1	-0.17321	
0.15	-0.17321	
0.2	-0.17321	
0.25	-0.17321	
0.3	-0.17321	
0.35	-0.17321	
0.4	-0.17321	
0.45	-0.17321	
0.5	-0.17321	
0.55	-0.17321	
0.6	-0.17321	
0.65	-0.17321	
0.7	-0.17321	
0.75	-0.17321	
0.8	-0.17321	
0.85	-0.17321	
0.9	-0.17321	
0.95	-0.17321	
1	-0.17321	
1.05	-0.17321	
-1.125	-0.21651	
-1.075	-0.21651	
-1.025	-0.21651	
-0.975	-0.21651	
-0.925	-0.21651	
-0.875	-0.21651	
-0.825	-0.21651	
-0.775	-0.21651	
-0.725	-0.21651	
-0.675	-0.21651	
-0.625	-0.21651	
-0.575	-0.21651	
-0.525	-0.21651	
-0.475	-0.21651	
-0.425	-0.21651	
-0.375	-0.21651	
-0.325	-0.21651	
-0.275	-0.21651	
-0.225	-0.21651	
-0.175	-0.21651	
-0.125	-0.21651	
-0.075	-0.21651	
-0.025	-0.21651	
0.025	-0.21651	
0.075	-0.21651	
0.125	-0.21651	
0.175	-0.21651	
0.225	-0.21651	
0.275	-0.21651	
0.325	-0.21651	
0.375	-0.21651	
0.425	-0.21651	
0.475	-0.21651	
0.525	-0.21651	
0.575	-0.21651	
0.625	-0.21651	
0.675	-0.21651	
0.725	-0.21651	
0.775	-0.21651	
0.825	-0.21651	
0.875	-0.21651	
0.925	-0.21651	
0.975	-0.21651	
1.025	-0.21651	
-1.15	-0.25981	
-1.1	-0.25981	
-1.05	-0.25981	
-1	-0.25981	
-0.95	-0.25981	
-0.9	-0.25981	
-0.85	-0.25981	
-0.8	-0.25981	
-0.75	-0.25981	
-0.7	-0.25981	
-0.65	-0.25981	
-0.6	-0.25981	
-0.55	-0.25981	
-0.5	-0.25981	
-0.45	-0.25981	
-0.4	-0.25981	
-0.35	-0.25981	
-0.3	-0.25981	
-0.25	-0.25981	
-0.2	-0.25981	
-0.15	-0.25981	
-0.1	-0.25981	
-0.05	-0.25981	
0	-0.25981	
0.05	-0.25981	
0.1	-0.25981	
0.15	-0.25981	
0.2	-0.25981	
0.25	-0.25981	
0.3	-0.25981	
0.35	-0.25981	
0.4	-0.25981	
0.45	-0.25981	
0.5	-0.25981	
0.55	-0.25981	
0.6	-0.25981	
0.65	-0.25981	
0.7	-0.25981	
0.75	-0.25981	
0.8	-0.25981	
0.85	-0.25981	
0.9	-0.25981	
0.95	-0.25981	
1	-0.25981	
1.05	-0.25981	
-1.125	-0.30311	
-1.075	-0.30311	
-1.025	-0.30311	
-0.975	-0.30311	
-0.925	-0.30311	
-0.875	-0.30311	
-0.825	-0.30311	
-0.775	-0.30311	
-0.725	-0.30311	
-0.675	-0.30311	
-0.625	-0.30311	
-0.575	-0.30311	
-0.525	-0.30311	
-0.475	-0.30311	
-0.425	-0.30311	
-0.375	-0.30311	
-0.325	-0.30311	
-0.275	-0.30311	
-0.225	-0.30311	
-0.175	-0.30311	
-0.125	-0.30311	
-0.075	-0.30311	
-0.025	-0.30311	
0.025	-0.30311	
0.075	-0.30311	
0.125	-0.30311	
0.175	-0.30311	
0.225	-0.30311	
0.275	-0.30311	
0.325	-0.30311	
0.375	-0.30311	
0.425	-0.30311	
0.475	-0.30311	
0.525	-0.30311	
0.575	-0.30311	
0.625	-0.30311	
0.675	-0.30311	
0.725	-0.30311	
0.775	-0.30311	
0.825	-0.30311	
0.875	-0.30311	
0.925	-0.30311	
0.975	-0.30311	
1.025	-0.30311	
-1.05	-0.34641	
-1	-0.34641	
-0.95	-0.34641	
-0.9	-0.34641	
-0.85	-0.34641	
-0.8	-0.34641	
-0.75	-0.34641	
-0.7	-0.34641	
-0.65	-0.34641	
-0.6	-0.34641	
-0.55	-0.34641	
-0.5	-0.34641	
-0.45	-0.34641	
-0.4	-0.34641	
-0.35	-0.34641	
-0.3	-0.34641	
-0.25	-0.34641	
-0.2	-0.34641	
-0.15	-0.34641	
-0.1	-0.34641	
-0.05	-0.34641	
0	-0.34641	
0.05	-0.34641	
0.1	-0.34641	
0.15	-0.34641	
0.2	-0.34641	
0.25	-0.34641	
0.3	-0.34641	
0.35	-0.34641	
0.4	-0.34641	
0.45	-0.34641	
0.5	-0.34641	
0.55	-0.34641	
0.6	-0.34641	
0.65	-0.34641	
0.7	-0.34641	
0.75	-0.34641	
0.8	-0.34641	
0.85	-0.34641	
0.9	-0.34641	
0.95	-0.34641	
1	-0.34641	
-1.025	-0.38971	
-0.975	-0.38971	
-0.925	-0.38971	
-0.875	-0.38971	
-0.825	-0.38971	
-0.775	-0.38971	
-0.725	-0.38971	
-0.675	-0.38971	
-0.625	-0.38971	
-0.575	-0.38971	
-0.525	-0.38971	
-0.475	-0.38971	
-0.425	-0.38971	
-0.375	-0.38971	
-0.325	-0.38971	
